Name	Start	Duration	Time Format	Type	Description
	1.1.00000000		decimal	Cue	
	27.2.36303855		decimal	Cue	
	37.1.23324263		decimal	Cue	
	97.4.53192744		decimal	Cue	
	107.2.10181406		decimal	Cue	
	178.3.80013605		decimal	Cue	
	247.4.95351474		decimal	Cue	
	967.4.77605442		decimal	Cue	
	3287.4.58448971		decimal	Cue	
	3298.3.49496590		decimal	Cue	
	3338.2.73741487		decimal	Cue	
	3437.3.28780035		decimal	Cue	
	3538.1.27165522		decimal	Cue	
	3547.3.39882075		decimal	Cue	
	3588.3.37814048		decimal	Cue	
	4048.1.19111096		decimal	Cue	
