ClipName,MarkerSeconds,MarkerHMS,ClipStartSeconds,ClipStartHMS,ClipEndSeconds,ClipEndHMS,DurationSeconds,DurationHMS
SAVE_001,1.100,00:00:01.100,0.000,00:00:00.000,16.100,00:00:16.100,16.100,00:00:16.100
SAVE_002,27.236,00:00:27.236,0.000,00:00:00.000,42.236,00:00:42.236,42.236,00:00:42.236
SAVE_003,37.123,00:00:37.123,7.123,00:00:07.123,52.123,00:00:52.123,45.000,00:00:45.000
SAVE_004,97.453,00:01:37.453,67.453,00:01:07.453,112.453,00:01:52.453,45.000,00:00:45.000
SAVE_005,107.210,00:01:47.210,77.210,00:01:17.210,122.210,00:02:02.210,45.000,00:00:45.000
SAVE_006,178.380,00:02:58.380,148.380,00:02:28.380,193.380,00:03:13.380,45.000,00:00:45.000
SAVE_007,247.495,00:04:07.495,217.495,00:03:37.495,262.495,00:04:22.495,45.000,00:00:45.000
SAVE_008,967.478,00:16:07.478,937.478,00:15:37.478,982.478,00:16:22.478,45.000,00:00:45.000
SAVE_009,3287.458,00:54:47.458,3257.458,00:54:17.458,3302.458,00:55:02.458,45.000,00:00:45.000
SAVE_010,3298.349,00:54:58.349,3268.349,00:54:28.349,3313.349,00:55:13.349,45.000,00:00:45.000
SAVE_011,3338.274,00:55:38.274,3308.274,00:55:08.274,3353.274,00:55:53.274,45.000,00:00:45.000
SAVE_012,3437.329,00:57:17.329,3407.329,00:56:47.329,3452.329,00:57:32.329,45.000,00:00:45.000
SAVE_013,3538.127,00:58:58.127,3508.127,00:58:28.127,3553.127,00:59:13.127,45.000,00:00:45.000
SAVE_014,3547.340,00:59:07.340,3517.340,00:58:37.340,3562.340,00:59:22.340,45.000,00:00:45.000
SAVE_015,3588.338,00:59:48.338,3558.338,00:59:18.338,3603.338,01:00:03.338,45.000,00:00:45.000
SAVE_016,4048.119,01:07:28.119,4018.119,01:06:58.119,4063.119,01:07:43.119,45.000,00:00:45.000
